"A"	"B"	"type"
"COPA"	"PPP2R2A"	"Positive Genetic"
"COPA"	"RPL10"	"Positive Genetic"
"COPE"	"COPE"	"Negative Genetic"
"COPE"	"DUT"	"Negative Genetic"
"COPE"	"FH"	"Negative Genetic"
"COPE"	"GTF2E1"	"Positive Genetic"
"COPE"	"METAP2"	"Negative Genetic"
"COPE"	"MRPL22"	"Negative Genetic"
"COPE"	"MTBP"	"Positive Genetic"
"COPE"	"RPL23"	"Negative Genetic"
"COPE"	"SCYL1"	"Negative Genetic"
"COPE"	"SLC35A1"	"Negative Genetic"
"COPE"	"UBA2"	"Negative Genetic"
"COPE"	"VPS4A"	"Negative Genetic"
"COPE"	"WDR7"	"Negative Genetic"
"COPS2"	"COPS2"	"Negative Genetic"
"COPS2"	"CTNNBL1"	"Positive Genetic"
"COPS2"	"NDUFA8"	"Negative Genetic"
"COPS2"	"PPCS"	"Positive Genetic"
"COPS2"	"SKA3"	"Negative Genetic"
"COPS2"	"UBA3"	"Positive Genetic"
"COPS2"	"XRN2"	"Negative Genetic"
"COPS2"	"YTHDC1"	"Negative Genetic"
"COPS4"	"CSTF3"	"Negative Genetic"
"COPS4"	"CTNNBL1"	"Negative Genetic"
"COPS4"	"DUT"	"Negative Genetic"
"COPS4"	"EIF3H"	"Negative Genetic"
"COPS4"	"HUS1"	"Negative Genetic"
"COPS4"	"INTS5"	"Negative Genetic"
"COPS4"	"KCTD10"	"Negative Genetic"
"COPS4"	"LEO1"	"Negative Genetic"
"COPS4"	"NUDC"	"Negative Genetic"
"COPS4"	"POLD1"	"Negative Genetic"
"COPS4"	"SGOL1"	"Negative Genetic"
"COPS4"	"SKA3"	"Negative Genetic"
"COPS4"	"SMC5"	"Negative Genetic"
"COPS4"	"SRSF7"	"Negative Genetic"
"COPS4"	"UBA3"	"Positive Genetic"
"COPS4"	"WDR61"	"Negative Genetic"
"COPS4"	"XRN2"	"Negative Genetic"
"COPS4"	"ZNHIT6"	"Positive Genetic"
"COPS5"	"HUS1"	"Negative Genetic"
"COPS5"	"KCTD10"	"Negative Genetic"
"COPS5"	"PELO"	"Negative Genetic"
"COPS5"	"PPP2R1A"	"Negative Genetic"
"COPS5"	"PSMD12"	"Positive Genetic"
"COPS5"	"SKA3"	"Negative Genetic"
"COPS5"	"UBA3"	"Positive Genetic"
"COPS5"	"XRN2"	"Negative Genetic"
"COQ2"	"FH"	"Positive Genetic"
"COQ2"	"MINOS1"	"Negative Genetic"
"COQ2"	"NUTF2"	"Negative Genetic"
"COQ2"	"PGK1"	"Negative Genetic"
"COX16"	"FH"	"Positive Genetic"
"COX16"	"MAPKAP1"	"Negative Genetic"
"COX16"	"MED23"	"Negative Genetic"
"COX16"	"MRPS14"	"Positive Genetic"
"COX16"	"PGK1"	"Negative Genetic"
"COX16"	"PSMB6"	"Negative Genetic"
"COX16"	"TTI2"	"Negative Genetic"
"COX5A"	"COX5A"	"Negative Genetic"
"COX5A"	"MED23"	"Negative Genetic"
"COX5A"	"MTBP"	"Negative Genetic"
"COX5A"	"RPL35"	"Negative Genetic"
"COX6C"	"COX6C"	"Negative Genetic"
"COX6C"	"DCTN2"	"Negative Genetic"
"COX6C"	"FH"	"Positive Genetic"
"COX6C"	"HUS1"	"Negative Genetic"
"COX6C"	"MAPKAP1"	"Negative Genetic"
"COX6C"	"MED14"	"Negative Genetic"
"COX6C"	"MED23"	"Negative Genetic"
"COX6C"	"MTBP"	"Negative Genetic"
"COX6C"	"PGK1"	"Negative Genetic"
"COX6C"	"PTTG1"	"Negative Genetic"
"COX6C"	"RPL10"	"Positive Genetic"
"COX6C"	"SNAPC1"	"Positive Genetic"
"COX6C"	"TIMM23B"	"Negative Genetic"
"COX6C"	"TTI2"	"Negative Genetic"
"COX7C"	"EIF3C"	"Positive Genetic"
"COX7C"	"PGK1"	"Negative Genetic"
"COX7C"	"SKA3"	"Positive Genetic"
"CSTF3"	"CSTF3"	"Negative Genetic"
"CSTF3"	"GNL3L"	"Negative Genetic"
"CSTF3"	"METAP2"	"Negative Genetic"
"CSTF3"	"NDUFB1"	"Negative Genetic"
"CTNNBL1"	"CTNNBL1"	"Negative Genetic"
"CTNNBL1"	"CTNNBL1"	"Positive Genetic"
"CTNNBL1"	"DCTN2"	"Positive Genetic"
"CTNNBL1"	"DHODH"	"Negative Genetic"
"CTNNBL1"	"DNA2"	"Positive Genetic"
"CTNNBL1"	"DNTTIP2"	"Positive Genetic"
"CTNNBL1"	"DONSON"	"Positive Genetic"
"CTNNBL1"	"FAM50A"	"Positive Genetic"
"CTNNBL1"	"FARSB"	"Positive Genetic"
"CTNNBL1"	"GEMIN4"	"Negative Genetic"
"CTNNBL1"	"INTS5"	"Negative Genetic"
"CTNNBL1"	"KCTD10"	"Negative Genetic"
"CTNNBL1"	"MAT2A"	"Positive Genetic"
"CTNNBL1"	"MED14"	"Positive Genetic"
"CTNNBL1"	"MED23"	"Negative Genetic"
"CTNNBL1"	"MED9"	"Positive Genetic"
"CTNNBL1"	"MRPS14"	"Negative Genetic"
"CTNNBL1"	"MRPS18A"	"Negative Genetic"
"CTNNBL1"	"NOL8"	"Positive Genetic"
"CTNNBL1"	"NUTF2"	"Positive Genetic"
"CTNNBL1"	"PELO"	"Negative Genetic"
"CTNNBL1"	"PMF1"	"Negative Genetic"
"CTNNBL1"	"POLD1"	"Positive Genetic"
"CTNNBL1"	"POLR3B"	"Negative Genetic"
"CTNNBL1"	"PPCS"	"Positive Genetic"
"CTNNBL1"	"PPIE"	"Positive Genetic"
"CTNNBL1"	"PPP2R1A"	"Negative Genetic"
"CTNNBL1"	"PSMB7"	"Positive Genetic"
"CTNNBL1"	"PSMD1"	"Positive Genetic"
"CTNNBL1"	"RBM17"	"Negative Genetic"
"CTNNBL1"	"RBM22"	"Positive Genetic"
"CTNNBL1"	"RPL32"	"Positive Genetic"
"CTNNBL1"	"SDHC"	"Negative Genetic"
"CTNNBL1"	"SNAPC1"	"Negative Genetic"
"CTNNBL1"	"SNRPB"	"Negative Genetic"
"CTNNBL1"	"TRNAU1AP"	"Negative Genetic"
"CTNNBL1"	"TRRAP"	"Positive Genetic"
"CTNNBL1"	"TUBGCP4"	"Positive Genetic"
"CTNNBL1"	"UBA2"	"Negative Genetic"
"CTNNBL1"	"ZCCHC9"	"Positive Genetic"
"CWC22"	"FAM50A"	"Negative Genetic"
"CWC22"	"MED23"	"Positive Genetic"
"CWC22"	"MINOS1"	"Negative Genetic"
"CWC22"	"PSMD4"	"Positive Genetic"
"CWC22"	"SYVN1"	"Positive Genetic"
"CWC22"	"USE1"	"Negative Genetic"
"CYB5B"	"EMC2"	"Negative Genetic"
"CYB5B"	"INTS5"	"Negative Genetic"
"CYB5B"	"MBTPS2"	"Negative Genetic"
"CYB5B"	"MCM3AP"	"Negative Genetic"
"CYB5B"	"RPL24"	"Negative Genetic"
"CYB5B"	"ZCCHC9"	"Negative Genetic"
"DAP3"	"LEO1"	"Positive Genetic"
"DARS"	"DARS"	"Negative Genetic"
"DARS"	"GEMIN4"	"Positive Genetic"
"DARS"	"GTF3C3"	"Negative Genetic"
"DARS"	"LEO1"	"Negative Genetic"
"DARS"	"MBTPS2"	"Negative Genetic"
"DARS"	"PELO"	"Negative Genetic"
"DARS"	"POLR3A"	"Positive Genetic"
"DARS"	"SNAPC1"	"Positive Genetic"
"DARS"	"TCOF1"	"Negative Genetic"
"DARS"	"UBA2"	"Negative Genetic"
"DCAF7"	"DCAF7"	"Negative Genetic"
"DCAF7"	"EIF3D"	"Positive Genetic"
"DCAF7"	"LEO1"	"Negative Genetic"
"DCAF7"	"MRPS5"	"Negative Genetic"
"DCAF7"	"PPP2R1A"	"Negative Genetic"
"DCAF7"	"SSB"	"Negative Genetic"
"DCAF7"	"TIMELESS"	"Negative Genetic"
"DCAF7"	"TMEM261"	"Negative Genetic"
"DCAF7"	"ZNF574"	"Negative Genetic"
"DCTN2"	"EIF3H"	"Negative Genetic"
"DCTN2"	"EXOSC4"	"Positive Genetic"
"DCTN2"	"EXOSC9"	"Positive Genetic"
"DCTN2"	"FAM208A"	"Positive Genetic"
"DCTN2"	"GFI1B"	"Negative Genetic"
"DCTN2"	"NDUFB1"	"Positive Genetic"
"DCTN2"	"PPP2R1A"	"Negative Genetic"
"DCTN2"	"RPL13"	"Positive Genetic"
"DCTN2"	"RPLP1"	"Negative Genetic"
"DCTN2"	"RTF1"	"Negative Genetic"
"DCTN2"	"SGOL1"	"Negative Genetic"
"DCTN2"	"SKA3"	"Negative Genetic"
"DCTN2"	"UBA2"	"Positive Genetic"
"DCTN2"	"ZNF574"	"Negative Genetic"
"DCTN2"	"ZWINT"	"Positive Genetic"
"DCTN4"	"DCTN4"	"Negative Genetic"
"DCTN4"	"LEO1"	"Negative Genetic"
"DCTN4"	"RPL11"	"Negative Genetic"
"DCTN4"	"RPL36A"	"Negative Genetic"
"DCTN4"	"SKA3"	"Negative Genetic"
"DCTN4"	"TRA2B"	"Negative Genetic"
"DCTN4"	"WDR61"	"Negative Genetic"
"DDX18"	"NDUFA9"	"Negative Genetic"
"DDX18"	"TCOF1"	"Negative Genetic"
"DDX46"	"FAM208A"	"Negative Genetic"
"DDX46"	"LEO1"	"Negative Genetic"
"DHODH"	"GINS4"	"Negative Genetic"
"DHODH"	"HUS1"	"Negative Genetic"
"DHODH"	"MRPL32"	"Positive Genetic"
"DHODH"	"TAF2"	"Negative Genetic"
"DHODH"	"TIPIN"	"Negative Genetic"
"DHX37"	"DHX37"	"Negative Genetic"
"DHX37"	"EXOSC2"	"Negative Genetic"
"DHX37"	"SNAPC1"	"Positive Genetic"
"DHX37"	"XRN2"	"Negative Genetic"
"DHX37"	"ZCCHC9"	"Negative Genetic"
"DICER1"	"MED1"	"Negative Genetic"
"DICER1"	"SCYL1"	"Positive Genetic"
"DICER1"	"SEC22B"	"Positive Genetic"
"DLST"	"DLST"	"Negative Genetic"
"DLST"	"NDUFB1"	"Positive Genetic"
"DLST"	"PGD"	"Negative Genetic"
"DNTTIP2"	"RPL35"	"Positive Genetic"
"DONSON"	"GEMIN4"	"Positive Genetic"
"DONSON"	"GNL3L"	"Negative Genetic"
"DONSON"	"MED17"	"Positive Genetic"
"DONSON"	"PELO"	"Negative Genetic"
"DONSON"	"PITRM1"	"Positive Genetic"
"DONSON"	"PMF1"	"Positive Genetic"
"DONSON"	"RPL24"	"Negative Genetic"
"DONSON"	"TRA2B"	"Negative Genetic"
"DONSON"	"VPS72"	"Negative Genetic"
"DUT"	"EIF4G2"	"Positive Genetic"
"DUT"	"NAMPT"	"Negative Genetic"
"DUT"	"POLR3B"	"Negative Genetic"
"DUT"	"RPL11"	"Positive Genetic"
"DUT"	"TGIF2"	"Negative Genetic"
"DYNC1H1"	"DYNC1H1"	"Negative Genetic"
"DYNC1H1"	"INTS5"	"Negative Genetic"
"DYNC1H1"	"PPP2R1A"	"Negative Genetic"
"EBNA1BP2"	"PSMD6"	"Positive Genetic"
"EBNA1BP2"	"SNAPC1"	"Positive Genetic"
"EEF1G"	"GTF3C3"	"Negative Genetic"
"EEF1G"	"PSMD1"	"Positive Genetic"
"EEF1G"	"PSMD4"	"Positive Genetic"
"EFR3A"	"EFR3A"	"Negative Genetic"
"EFR3A"	"LEO1"	"Negative Genetic"
"EFR3A"	"PPP2R1A"	"Negative Genetic"
"EFR3A"	"UBA2"	"Positive Genetic"
"EFR3A"	"VPS72"	"Negative Genetic"
"EIF2B5"	"EIF3D"	"Positive Genetic"
"EIF2B5"	"EXOSC4"	"Positive Genetic"
"EIF2B5"	"MRPS5"	"Negative Genetic"
"EIF2B5"	"NUDC"	"Positive Genetic"
"EIF2B5"	"NUP43"	"Positive Genetic"
"EIF2B5"	"UBA2"	"Positive Genetic"
"EIF2B5"	"USMG5"	"Negative Genetic"
"EIF3C"	"EIF3C"	"Negative Genetic"
"EIF3C"	"EIF3H"	"Negative Genetic"
"EIF3C"	"EIF4G2"	"Positive Genetic"
"EIF3C"	"GEMIN4"	"Positive Genetic"
"EIF3C"	"GPN3"	"Negative Genetic"
"EIF3C"	"LEO1"	"Negative Genetic"
"EIF3C"	"MED22"	"Negative Genetic"
"EIF3C"	"MTBP"	"Negative Genetic"
"EIF3C"	"NOL8"	"Positive Genetic"
"EIF3C"	"NUDC"	"Positive Genetic"
"EIF3C"	"PSMD1"	"Negative Genetic"
"EIF3C"	"PSMD4"	"Positive Genetic"
"EIF3C"	"SMNDC1"	"Positive Genetic"
"EIF3C"	"SNAPC1"	"Positive Genetic"
"EIF3C"	"SSB"	"Negative Genetic"
"EIF3C"	"XPO1"	"Negative Genetic"
"EIF3D"	"EIF3D"	"Negative Genetic"
"EIF3D"	"EXOSC9"	"Negative Genetic"
"EIF3D"	"MRPS5"	"Negative Genetic"
"EIF3D"	"MTOR"	"Positive Genetic"
"EIF3D"	"NCAPD2"	"Positive Genetic"
"EIF3D"	"PSMD4"	"Negative Genetic"
"EIF3D"	"PWP1"	"Positive Genetic"
"EIF3D"	"RPL23"	"Negative Genetic"
"EIF3D"	"YTHDC1"	"Positive Genetic"
"EIF3H"	"EIF4A1"	"Negative Genetic"
"EIF3H"	"EIF4G1"	"Negative Genetic"
"EIF3H"	"EIF4G2"	"Negative Genetic"
"EIF3H"	"EMG1"	"Positive Genetic"
"EIF3H"	"EXOSC2"	"Negative Genetic"
"EIF3H"	"FAM50A"	"Positive Genetic"
"EIF3H"	"FDPS"	"Negative Genetic"
"EIF3H"	"GTF2E1"	"Negative Genetic"
"EIF3H"	"LUC7L3"	"Negative Genetic"
"EIF3H"	"MED22"	"Negative Genetic"
"EIF3H"	"MINOS1"	"Negative Genetic"
"EIF3H"	"MRPS18B"	"Negative Genetic"
"EIF3H"	"NDUFA9"	"Negative Genetic"
"EIF3H"	"NUTF2"	"Negative Genetic"
"EIF3H"	"PMF1"	"Negative Genetic"
"EIF3H"	"PPCS"	"Negative Genetic"
"EIF3H"	"PSMD12"	"Negative Genetic"
"EIF3H"	"PTTG1"	"Negative Genetic"
"EIF3H"	"SKA3"	"Negative Genetic"
"EIF3H"	"SNRPD3"	"Negative Genetic"
"EIF3H"	"TAF1"	"Negative Genetic"
"EIF3H"	"TAF2"	"Negative Genetic"
"EIF3H"	"TAF2"	"Positive Genetic"
"EIF3H"	"TRA2B"	"Negative Genetic"
"EIF3H"	"UBA3"	"Positive Genetic"
"EIF3H"	"XRN2"	"Positive Genetic"
"EIF3M"	"PSMD1"	"Positive Genetic"
"EIF3M"	"VPS72"	"Negative Genetic"
"EIF4A1"	"EIF4A1"	"Negative Genetic"
"EIF4A1"	"PDSS2"	"Positive Genetic"
"EIF4A1"	"SNAPC1"	"Positive Genetic"
"EIF4A1"	"TAF2"	"Positive Genetic"
"EIF4A1"	"UBA3"	"Positive Genetic"
"EIF4G1"	"EXOSC2"	"Negative Genetic"
"EIF4G1"	"MED28"	"Positive Genetic"
"EIF4G1"	"MFAP1"	"Negative Genetic"
"EIF4G1"	"MRPL22"	"Negative Genetic"
"EIF4G1"	"MRPL32"	"Negative Genetic"
"EIF4G1"	"PTTG1"	"Negative Genetic"
"EIF4G1"	"RPL35"	"Negative Genetic"
"EIF4G1"	"TAF2"	"Positive Genetic"
"EIF4G1"	"XRN2"	"Negative Genetic"
"EIF4G2"	"EIF4G2"	"Negative Genetic"
"EIF4G2"	"EMG1"	"Positive Genetic"
"EIF4G2"	"EXOSC2"	"Positive Genetic"
"EIF4G2"	"FAM50A"	"Positive Genetic"
"EIF4G2"	"GEMIN2"	"Positive Genetic"
"EIF4G2"	"GNL2"	"Positive Genetic"
"EIF4G2"	"GTPBP4"	"Positive Genetic"
"EIF4G2"	"KARS"	"Positive Genetic"
"EIF4G2"	"LONP1"	"Positive Genetic"
"EIF4G2"	"MARS"	"Positive Genetic"
"EIF4G2"	"MFAP1"	"Positive Genetic"
"EIF4G2"	"NAMPT"	"Positive Genetic"
"EIF4G2"	"NDUFA2"	"Positive Genetic"
"EIF4G2"	"NFYC"	"Positive Genetic"
"EIF4G2"	"OGFOD1"	"Positive Genetic"
"EIF4G2"	"PGK1"	"Positive Genetic"
"EIF4G2"	"PMF1"	"Positive Genetic"
"EIF4G2"	"POLA1"	"Positive Genetic"
"EIF4G2"	"POLN"	"Positive Genetic"
"EIF4G2"	"PPP2R2A"	"Positive Genetic"
"EIF4G2"	"RAD51"	"Positive Genetic"
"EIF4G2"	"RBM17"	"Positive Genetic"
"EIF4G2"	"RINT1"	"Positive Genetic"
"EIF4G2"	"RPL10"	"Positive Genetic"
"EIF4G2"	"RPL11"	"Positive Genetic"
"EIF4G2"	"RPL3"	"Positive Genetic"
"EIF4G2"	"RPSA"	"Positive Genetic"
"EIF4G2"	"SPDL1"	"Positive Genetic"
"EIF4G2"	"TAF2"	"Positive Genetic"
"EIF5B"	"EIF5B"	"Negative Genetic"
"EIF5B"	"ZNF574"	"Negative Genetic"
"EIF6"	"EIF6"	"Negative Genetic"
"EIF6"	"GNL3L"	"Negative Genetic"
"EIF6"	"HUS1"	"Negative Genetic"
"EIF6"	"LTN1"	"Negative Genetic"
"EIF6"	"PSMD1"	"Negative Genetic"
"EIF6"	"TRA2B"	"Positive Genetic"
"EIF6"	"WDR61"	"Negative Genetic"
"EIF6"	"XRN2"	"Negative Genetic"
"ELP4"	"FAM98B"	"Negative Genetic"
"ELP4"	"FIP1L1"	"Negative Genetic"
"ELP4"	"MINOS1-NBL1"	"Negative Genetic"
"ELP4"	"POLN"	"Negative Genetic"
"ELP4"	"ZNF574"	"Positive Genetic"
"EMC1"	"EMC1"	"Negative Genetic"
"EMC1"	"FDPS"	"Negative Genetic"
"EMC1"	"GTF2H4"	"Negative Genetic"
"EMC1"	"MBTPS2"	"Negative Genetic"
"EMC1"	"MED1"	"Negative Genetic"
"EMC1"	"MED23"	"Negative Genetic"
"EMC1"	"SNIP1"	"Negative Genetic"
"EMC2"	"FDPS"	"Negative Genetic"
"EMC2"	"GOLT1B"	"Negative Genetic"
"EMC2"	"MAPKAP1"	"Negative Genetic"
"EMC2"	"MBTPS2"	"Negative Genetic"
"EMC2"	"MCM3AP"	"Negative Genetic"
"EMC2"	"METTL17"	"Negative Genetic"
"EMC2"	"NUDC"	"Negative Genetic"
"EMC2"	"SEC22B"	"Negative Genetic"
"EMC2"	"USE1"	"Negative Genetic"
"EMC2"	"VPS29"	"Negative Genetic"
"EMC2"	"WDR7"	"Negative Genetic"
"EMC2"	"ZNF830"	"Positive Genetic"
"EMC4"	"EMC4"	"Negative Genetic"
"EMC4"	"EMC7"	"Negative Genetic"
"EMC4"	"FDPS"	"Negative Genetic"
"EMC4"	"GTF2H4"	"Negative Genetic"
"EMC4"	"MAT2A"	"Negative Genetic"
"EMC4"	"MED23"	"Negative Genetic"
"EMC4"	"NCAPD2"	"Negative Genetic"
"EMC4"	"NUTF2"	"Positive Genetic"
"EMC4"	"POLR3B"	"Positive Genetic"
"EMC4"	"RPL10"	"Negative Genetic"
"EMC6"	"FDPS"	"Negative Genetic"
"EMC6"	"NUTF2"	"Negative Genetic"
"EMC6"	"SRP19"	"Negative Genetic"
"EMC7"	"EMC7"	"Negative Genetic"
"EMC7"	"EXOSC2"	"Negative Genetic"
"EMC7"	"FDPS"	"Negative Genetic"
"EMC7"	"GTF2H4"	"Negative Genetic"
"EMC7"	"MED1"	"Negative Genetic"
"EMC7"	"MRPS14"	"Negative Genetic"
"EMC7"	"TIMELESS"	"Negative Genetic"
"EMG1"	"EXOSC2"	"Negative Genetic"
"EMG1"	"EXOSC4"	"Negative Genetic"
"EMG1"	"FAM208A"	"Negative Genetic"
"EMG1"	"POLA1"	"Positive Genetic"
"EMG1"	"SNAPC1"	"Positive Genetic"
"EMG1"	"WDR7"	"Positive Genetic"
"EMG1"	"ZMAT5"	"Positive Genetic"
"ERH"	"ERH"	"Negative Genetic"
"ERH"	"FIP1L1"	"Negative Genetic"
"ERH"	"GEMIN4"	"Positive Genetic"
"ERH"	"GTF2E1"	"Positive Genetic"
"ERH"	"INTS5"	"Negative Genetic"
"ERH"	"KIF14"	"Negative Genetic"
"ERH"	"MBTPS2"	"Negative Genetic"
"ERH"	"MZT1"	"Positive Genetic"
"ERH"	"NUDC"	"Negative Genetic"
"ERH"	"SLC39A9"	"Negative Genetic"
"ERH"	"VPS72"	"Negative Genetic"
"ERH"	"ZNF574"	"Negative Genetic"
"EXOSC2"	"EXOSC2"	"Positive Genetic"
"EXOSC2"	"FAM50A"	"Negative Genetic"
"EXOSC2"	"INTS5"	"Positive Genetic"
"EXOSC2"	"LARS"	"Positive Genetic"
"EXOSC2"	"MPHOSPH6"	"Negative Genetic"
"EXOSC2"	"PELO"	"Negative Genetic"
"EXOSC2"	"PSPH"	"Negative Genetic"
"EXOSC2"	"RINT1"	"Negative Genetic"
"EXOSC2"	"ROMO1"	"Positive Genetic"
"EXOSC2"	"RPL35"	"Negative Genetic"
"EXOSC2"	"RPS18"	"Negative Genetic"
"EXOSC2"	"SNAPC1"	"Negative Genetic"
"EXOSC2"	"XRN2"	"Negative Genetic"
"EXOSC2"	"ZCCHC9"	"Negative Genetic"
"EXOSC4"	"EXOSC4"	"Negative Genetic"
"EXOSC4"	"GTF2E1"	"Positive Genetic"
"EXOSC4"	"GTF2H4"	"Positive Genetic"
"EXOSC4"	"HUS1"	"Negative Genetic"
"EXOSC4"	"LTN1"	"Negative Genetic"
"EXOSC4"	"MPHOSPH6"	"Negative Genetic"
"EXOSC4"	"NEMF"	"Negative Genetic"
"EXOSC4"	"NUDC"	"Positive Genetic"
"EXOSC4"	"PELO"	"Negative Genetic"
"EXOSC4"	"POLR3A"	"Positive Genetic"
"EXOSC4"	"RPL10"	"Negative Genetic"
"EXOSC4"	"SNAPC1"	"Positive Genetic"
"EXOSC4"	"UMPS"	"Positive Genetic"
"EXOSC4"	"XRN2"	"Negative Genetic"
"EXOSC4"	"ZCCHC9"	"Negative Genetic"
"EXOSC6"	"EXOSC6"	"Negative Genetic"
"EXOSC6"	"MRPL22"	"Negative Genetic"
"EXOSC6"	"PELO"	"Negative Genetic"
"EXOSC9"	"EXOSC9"	"Negative Genetic"
"EXOSC9"	"HUS1"	"Negative Genetic"
"EXOSC9"	"MPHOSPH6"	"Negative Genetic"
"EXOSC9"	"NUDC"	"Positive Genetic"
"EXOSC9"	"OGFOD1"	"Positive Genetic"
"EXOSC9"	"PELO"	"Negative Genetic"
"EXOSC9"	"PRIM2"	"Negative Genetic"
"EXOSC9"	"PSMD12"	"Negative Genetic"
"EXOSC9"	"RPL36A"	"Positive Genetic"
"EXOSC9"	"RTF1"	"Positive Genetic"
"EXOSC9"	"XRN2"	"Negative Genetic"
"EXOSC9"	"ZCCHC9"	"Negative Genetic"
"EXOSC9"	"ZNF830"	"Positive Genetic"
"FAM208A"	"FAM208A"	"Negative Genetic"
"FAM208A"	"GEMIN4"	"Positive Genetic"
"FAM208A"	"INTS3"	"Negative Genetic"
"FAM208A"	"MZT1"	"Positive Genetic"
"FAM208A"	"NOP58"	"Negative Genetic"
"FAM208A"	"POLE2"	"Negative Genetic"
"FAM208A"	"PPP2R2A"	"Negative Genetic"
"FAM208A"	"PRIM2"	"Negative Genetic"
"FAM208A"	"PSMD12"	"Negative Genetic"
"FAM208A"	"RPS18"	"Negative Genetic"
"FAM208A"	"RPS28"	"Negative Genetic"
"FAM208A"	"RTF1"	"Positive Genetic"
"FAM208A"	"SKA3"	"Positive Genetic"
"FAM208A"	"SKIV2L"	"Negative Genetic"
"FAM208A"	"SNRPB"	"Negative Genetic"
"FAM208A"	"SNRPC"	"Negative Genetic"
"FAM208A"	"TCOF1"	"Negative Genetic"
"FAM208A"	"TIMELESS"	"Negative Genetic"
"FAM208A"	"TRRAP"	"Negative Genetic"
"FAM50A"	"FAM50A"	"Negative Genetic"
"FAM50A"	"FAM50A"	"Positive Genetic"
"FAM50A"	"GNL3L"	"Negative Genetic"
"FAM50A"	"KDM1A"	"Positive Genetic"
"FAM50A"	"LEO1"	"Negative Genetic"
"FAM50A"	"MRPS11"	"Negative Genetic"
"FAM50A"	"MTPAP"	"Negative Genetic"
"FAM50A"	"NACA"	"Positive Genetic"
"FAM50A"	"NCBP1"	"Positive Genetic"
"FAM50A"	"PPCS"	"Positive Genetic"
"FAM50A"	"RPL30"	"Negative Genetic"
"FAM50A"	"TAF2"	"Negative Genetic"
"FAM50A"	"TRA2B"	"Negative Genetic"
"FAM50A"	"TRRAP"	"Positive Genetic"
"FAM50A"	"TUBB"	"Negative Genetic"
"FAM50A"	"WDR61"	"Negative Genetic"
"FAM50A"	"ZNF830"	"Negative Genetic"
"FAM98B"	"INTS5"	"Negative Genetic"
"FAM98B"	"LEO1"	"Positive Genetic"
"FAM98B"	"RPL28"	"Positive Genetic"
"FAM98B"	"SSB"	"Negative Genetic"
"FAM98B"	"XRN2"	"Positive Genetic"
"FAM98B"	"ZNF574"	"Positive Genetic"
"FARSA"	"FIP1L1"	"Negative Genetic"
"FARSA"	"PSMD4"	"Positive Genetic"
"FARSA"	"RPL10"	"Positive Genetic"
"FARSA"	"RPL35"	"Negative Genetic"
"FARSA"	"TRMT5"	"Negative Genetic"
"FARSB"	"FARSB"	"Negative Genetic"
"FARSB"	"INTS5"	"Negative Genetic"
"FARSB"	"LEO1"	"Negative Genetic"
"FDPS"	"FDPS"	"Positive Genetic"
"FDPS"	"HUS1"	"Negative Genetic"
"FDPS"	"MBTPS2"	"Positive Genetic"
"FDPS"	"MED23"	"Negative Genetic"
"FDPS"	"MED9"	"Negative Genetic"
"FDPS"	"NIP7"	"Positive Genetic"
"FDPS"	"PMVK"	"Positive Genetic"
"FDPS"	"PPP2R1A"	"Negative Genetic"
"FDPS"	"RINT1"	"Negative Genetic"
"FDPS"	"RRM1"	"Negative Genetic"
"FDPS"	"TAF1A"	"Positive Genetic"
"FDPS"	"TAF2"	"Positive Genetic"
"FDPS"	"TCOF1"	"Negative Genetic"
"FDPS"	"TIMELESS"	"Negative Genetic"
"FDPS"	"TRNAU1AP"	"Negative Genetic"
"FDPS"	"TRRAP"	"Positive Genetic"
"FDPS"	"UBA2"	"Negative Genetic"
"FDPS"	"USE1"	"Negative Genetic"
"FDPS"	"VPS29"	"Negative Genetic"
"FDPS"	"WDR7"	"Negative Genetic"
"FDPS"	"WDR77"	"Negative Genetic"
"FDPS"	"XPO1"	"Negative Genetic"
"FH"	"HUS1"	"Negative Genetic"
"FH"	"NDUFA8"	"Positive Genetic"
"FH"	"NDUFA9"	"Positive Genetic"
"FH"	"NDUFB1"	"Positive Genetic"
"FH"	"NDUFB2"	"Positive Genetic"
"FH"	"PAFAH1B1"	"Negative Genetic"
"FH"	"PDSS2"	"Positive Genetic"
"FH"	"GATB"	"Positive Genetic"
"FH"	"TMEM261"	"Positive Genetic"
"FH"	"ZNF830"	"Negative Genetic"
"FIP1L1"	"GOLT1B"	"Negative Genetic"
"FIP1L1"	"LEO1"	"Negative Genetic"
"FIP1L1"	"NDUFB1"	"Negative Genetic"
"FIP1L1"	"TAF2"	"Positive Genetic"
"FIP1L1"	"TIPIN"	"Negative Genetic"
"FIP1L1"	"WDR61"	"Negative Genetic"
"GEMIN2"	"GEMIN2"	"Negative Genetic"
"GEMIN2"	"GEMIN4"	"Negative Genetic"
"GEMIN2"	"GTF2H4"	"Negative Genetic"
"GEMIN2"	"POLR3B"	"Positive Genetic"
"GEMIN2"	"SNAPC1"	"Positive Genetic"
"GEMIN2"	"UBA2"	"Positive Genetic"
"GEMIN2"	"ZCCHC9"	"Positive Genetic"
"GEMIN4"	"GEMIN4"	"Negative Genetic"
"GEMIN4"	"GFI1B"	"Positive Genetic"
"GEMIN4"	"GTF2E1"	"Negative Genetic"
"GEMIN4"	"GTF2H1"	"Negative Genetic"
